id,name,type,type_code,address,location,tel,business_area,poi_type,province,city,district
B000A8UIN8,故宫博物院,风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆,110201|140100,景山前街4号,"116.397029,39.917839",4009501925,[],weigh3_科教文化服务,北京市,北京市,东城区
B000A83U0P,中国国家博物馆,科教文化服务;博物馆;博物馆,140100,东长安街16号天安门广场东侧,"116.401304,39.905374",010-65116400,[],weigh3_科教文化服务,北京市,北京市,东城区
B000A87LVO,人民大会堂,科教文化服务;会展中心;会展中心,140300,西长安街,"116.393823,39.905024",010-83084776;010-63096156,大栅栏,weigh3_科教文化服务,北京市,北京市,西城区
B000A7I4X8,北京市劳动人民文化宫,科教文化服务;文化宫;文化宫,140800,东长安街天安门东侧,"116.400005,39.910700",010-65116776,[],weigh3_科教文化服务,北京市,北京市,东城区
B000A7BC2S,中国美术馆,科教文化服务;博物馆;博物馆,140100,五四大街1号,"116.408939,39.925255",010-64006326;010-64011816,沙滩,weigh3_科教文化服务,北京市,北京市,东城区
B000A7CRPA,国家自然博物馆,科教文化服务;博物馆;博物馆,140100,天桥南大街126号,"116.399833,39.883183",010-67027702;010-67031637,天桥,weigh3_科教文化服务,北京市,北京市,东城区
B0FFIH51T5,北京嘉德艺术中心,科教文化服务;展览馆;展览馆,140200,王府井大街1号(中国美术馆地铁站D2西南口步行70米),"116.410182,39.923587",010-65189968;010-85928266,王府井,weigh3_科教文化服务,北京市,北京市,东城区
B000AA0HTV,中国海关博物馆,科教文化服务;博物馆;博物馆,140100,建国门内大街2号,"116.432995,39.907129",010-65194458,建国门,weigh3_科教文化服务,北京市,北京市,东城区
B0HUFDX2SZ,中央礼品文物管理中心,科教文化服务;博物馆;博物馆,140100,西兴隆街1号,"116.410901,39.897847",010-55626345,[],weigh3_科教文化服务,北京市,北京市,东城区
B0FFFLJV1Z,北京杜莎夫人蜡像馆,科教文化服务;展览馆;展览馆,140200,前门大街18号(前门地铁站I西南口步行200米),"116.398304,39.897404",[],[],weigh3_科教文化服务,北京市,北京市,东城区
